File,Auxiliary,Transitivity,Tense,Count
Col-K7b-2_mptf.conllu,h-,transitive,Pres,1
DMX-K43a_mptf.conllu,ēstādan,transitive,Pres,40
DMX-K43a_mptf.conllu,ēstādan,intransitive,Pres,7
DMX-K43a_mptf.conllu,h-,transitive,Pres,12
DMX-K43a_mptf.conllu,h-,intransitive,Pres,16
DMX-K43a_mptf.conllu,būdan,transitive,Past,1
Dk4-B_mptf.conllu,ēstādan,transitive,Pres,2
Dk4-B_mptf.conllu,ēstādan,transitive,Past,1
Dk4-B_mptf.conllu,ēstādan,intransitive,Past,1
GBd-TD2_mptf.conllu,ēstādan,transitive,Pres,107
GBd-TD2_mptf.conllu,ēstādan,transitive,Past,6
GBd-TD2_mptf.conllu,ēstādan,intransitive,Pres,31
GBd-TD2_mptf.conllu,ēstādan,intransitive,Past,1
GBd-TD2_mptf.conllu,h-,transitive,Pres,58
GBd-TD2_mptf.conllu,h-,intransitive,Pres,98
GBd-TD2_mptf.conllu,būdan,transitive,Pres,13
GBd-TD2_mptf.conllu,būdan,transitive,Past,5
GBd-TD2_mptf.conllu,būdan,intransitive,Pres,2
GBd-TD2_mptf.conllu,būdan,intransitive,Past,1
Col-TD2-1_mptf.conllu,h-,transitive,Pres,2
NM-K35_mptf.conllu,ēstādan,transitive,Pres,22
NM-K35_mptf.conllu,ēstādan,transitive,Past,1
NM-K35_mptf.conllu,ēstādan,intransitive,Pres,2
NM-K35_mptf.conllu,h-,transitive,Pres,17
NM-K35_mptf.conllu,h-,intransitive,Pres,6
GA-K20_mptf.conllu,ēstādan,transitive,Pres,2
GA-K20_mptf.conllu,h-,transitive,Pres,2
GA-K20_mptf.conllu,būdan,transitive,Pres,1
Col-TD1-1_mptf.conllu,būdan,transitive,Pres,2
AOD-K20_mptf.conllu,ēstādan,transitive,Pres,9
AOD-K20_mptf.conllu,ēstādan,intransitive,Pres,2
DD-TD4a_mptf.conllu,ēstādan,transitive,Pres,38
DD-TD4a_mptf.conllu,ēstādan,transitive,Past,1
DD-TD4a_mptf.conllu,ēstādan,intransitive,Pres,6
DD-TD4a_mptf.conllu,h-,transitive,Pres,2
DD-TD4a_mptf.conllu,h-,intransitive,Pres,3
DD-TD4a_mptf.conllu,būdan,transitive,Pres,4
DD-TD4a_mptf.conllu,būdan,transitive,Past,1
Dk3-B_mptf.conllu,ēstādan,transitive,Pres,16
Dk3-B_mptf.conllu,ēstādan,intransitive,Pres,2
Dk3-B_mptf.conllu,h-,transitive,Pres,4
Dk3-B_mptf.conllu,būdan,transitive,Pres,14
Dk3-B_mptf.conllu,būdan,transitive,Past,5
GBd-DH_mptf.conllu,ēstādan,transitive,Pres,72
GBd-DH_mptf.conllu,ēstādan,transitive,Past,7
GBd-DH_mptf.conllu,ēstādan,intransitive,Pres,26
GBd-DH_mptf.conllu,ēstādan,intransitive,Past,1
GBd-DH_mptf.conllu,h-,transitive,Pres,53
GBd-DH_mptf.conllu,h-,intransitive,Pres,89
GBd-DH_mptf.conllu,būdan,transitive,Pres,7
GBd-DH_mptf.conllu,būdan,transitive,Past,3
GBd-DH_mptf.conllu,būdan,intransitive,Pres,1
GBd-DH_mptf.conllu,būdan,intransitive,Past,3
DD-K35_mptf.conllu,ēstādan,transitive,Pres,37
DD-K35_mptf.conllu,ēstādan,transitive,Past,2
DD-K35_mptf.conllu,ēstādan,intransitive,Pres,6
DD-K35_mptf.conllu,h-,transitive,Pres,1
DD-K35_mptf.conllu,h-,intransitive,Pres,3
DD-K35_mptf.conllu,būdan,transitive,Pres,4
DD-K35_mptf.conllu,būdan,transitive,Past,1
Dk5-B_mptf.conllu,ēstādan,transitive,Pres,26
Dk5-B_mptf.conllu,ēstādan,transitive,Past,3
Dk5-B_mptf.conllu,ēstādan,intransitive,Pres,3
Dk5-B_mptf.conllu,h-,transitive,Pres,1
Dk5-B_mptf.conllu,h-,intransitive,Pres,3
Dk5-B_mptf.conllu,būdan,transitive,Pres,1
Dk5-B_mptf.conllu,būdan,intransitive,Past,1
P-TD2_mptf.conllu,ēstādan,transitive,Pres,17
P-TD2_mptf.conllu,būdan,transitive,Pres,8
DMX-L19_mptf.conllu,ēstādan,transitive,Pres,22
DMX-L19_mptf.conllu,ēstādan,transitive,Past,2
DMX-L19_mptf.conllu,ēstādan,intransitive,Pres,3
DMX-L19_mptf.conllu,h-,transitive,Pres,3
DMX-L19_mptf.conllu,h-,intransitive,Pres,2
GBd-TD1_mptf.conllu,ēstādan,transitive,Pres,103
GBd-TD1_mptf.conllu,ēstādan,transitive,Past,6
GBd-TD1_mptf.conllu,ēstādan,intransitive,Pres,33
GBd-TD1_mptf.conllu,ēstādan,intransitive,Past,1
GBd-TD1_mptf.conllu,h-,transitive,Pres,57
GBd-TD1_mptf.conllu,h-,intransitive,Pres,100
GBd-TD1_mptf.conllu,būdan,transitive,Pres,12
GBd-TD1_mptf.conllu,būdan,transitive,Past,6
GBd-TD1_mptf.conllu,būdan,intransitive,Pres,1
GBd-TD1_mptf.conllu,būdan,intransitive,Past,3
MHD-MHDC_mptf.conllu,ēstādan,transitive,Pres,103
MHD-MHDC_mptf.conllu,ēstādan,transitive,Past,9
MHD-MHDC_mptf.conllu,ēstādan,intransitive,Pres,32
MHD-MHDC_mptf.conllu,ēstādan,intransitive,Past,2
MHD-MHDC_mptf.conllu,h-,transitive,Pres,23
MHD-MHDC_mptf.conllu,h-,intransitive,Pres,11
MHD-MHDC_mptf.conllu,būdan,transitive,Pres,28
MHD-MHDC_mptf.conllu,būdan,transitive,Past,7
MHD-MHDC_mptf.conllu,būdan,intransitive,Pres,1
H-HJ_mptf.conllu,ēstādan,transitive,Pres,7
H-HJ_mptf.conllu,ēstādan,intransitive,Pres,1
H-HJ_mptf.conllu,h-,transitive,Pres,3
H-HJ_mptf.conllu,būdan,transitive,Pres,1
Dk6-B_mptf.conllu,ēstādan,transitive,Pres,21
Dk6-B_mptf.conllu,ēstādan,transitive,Past,1
Dk6-B_mptf.conllu,h-,transitive,Pres,8
Dk6-B_mptf.conllu,būdan,transitive,Pres,12
Dk6-B_mptf.conllu,būdan,transitive,Past,1
Dk6-B_mptf.conllu,būdan,intransitive,Pres,1
Dk9-B_mptf.conllu,ēstādan,transitive,Pres,26
Dk9-B_mptf.conllu,ēstādan,intransitive,Pres,10
Dk9-B_mptf.conllu,h-,transitive,Pres,4
Dk9-B_mptf.conllu,h-,intransitive,Pres,1
Dk9-B_mptf.conllu,būdan,transitive,Pres,65
Dk9-B_mptf.conllu,būdan,transitive,Past,2
ZWY-K20_mptf.conllu,ēstādan,transitive,Pres,7
ZWY-K20_mptf.conllu,ēstādan,transitive,Past,3
ZWY-K20_mptf.conllu,ēstādan,intransitive,Pres,1
ZWY-K20_mptf.conllu,h-,transitive,Pres,2
Col-K43a-2_mptf.conllu,ēstādan,transitive,Pres,1
WZ_K35.conllu,ēstādan,transitive,Pres,4
WZ_K35.conllu,ēstādan,transitive,Past,4
WZ_K35.conllu,ēstādan,intransitive,Pres,1
WZ_K35.conllu,h-,transitive,Pres,12
WZ_K35.conllu,h-,intransitive,Pres,43
WZ_K35.conllu,būdan,transitive,Past,3
WZ_K35.conllu,būdan,intransitive,Past,5
Col-K5-1_mptf.conllu,h-,intransitive,Pres,1
ZWY-K43a_mptf.conllu,ēstādan,transitive,Pres,7
ZWY-K43a_mptf.conllu,ēstādan,transitive,Past,3
ZWY-K43a_mptf.conllu,ēstādan,intransitive,Pres,3
ZWY-K43a_mptf.conllu,h-,transitive,Pres,2
ZWY-K43a_mptf.conllu,būdan,intransitive,Pres,1
MYF-K20_mptf.conllu,ēstādan,transitive,Pres,11
MYF-K20_mptf.conllu,ēstādan,intransitive,Pres,4
MYF-K20_mptf.conllu,ēstādan,intransitive,Past,1
MYF-K20_mptf.conllu,h-,transitive,Pres,4
MYF-K20_mptf.conllu,h-,intransitive,Pres,2
PY-Pt4_mptf.conllu,ēstādan,transitive,Pres,114
PY-Pt4_mptf.conllu,ēstādan,transitive,Past,6
PY-Pt4_mptf.conllu,ēstādan,intransitive,Pres,43
PY-Pt4_mptf.conllu,ēstādan,intransitive,Past,8
PY-Pt4_mptf.conllu,h-,transitive,Pres,44
PY-Pt4_mptf.conllu,h-,intransitive,Pres,49
PY-Pt4_mptf.conllu,būdan,transitive,Pres,39
PY-Pt4_mptf.conllu,būdan,transitive,Past,5
PY-Pt4_mptf.conllu,būdan,intransitive,Pres,2
PY-Pt4_mptf.conllu,būdan,intransitive,Past,3
Dk7-B_mptf.conllu,ēstādan,transitive,Pres,6
Dk7-B_mptf.conllu,ēstādan,transitive,Past,5
Dk7-B_mptf.conllu,ēstādan,intransitive,Pres,2
Dk7-B_mptf.conllu,ēstādan,intransitive,Past,1
Dk7-B_mptf.conllu,h-,transitive,Pres,7
Dk7-B_mptf.conllu,h-,intransitive,Pres,7
NM-TD4a_mptf.conllu,ēstādan,transitive,Pres,22
NM-TD4a_mptf.conllu,ēstādan,transitive,Past,2
NM-TD4a_mptf.conllu,ēstādan,intransitive,Pres,1
NM-TD4a_mptf.conllu,h-,transitive,Pres,17
NM-TD4a_mptf.conllu,h-,intransitive,Pres,6
NM-TD4a_mptf.conllu,būdan,transitive,Pres,1
PVr-K7a_mptf.conllu,ēstādan,transitive,Pres,9
PVr-K7a_mptf.conllu,ēstādan,intransitive,Pres,2
PVr-K7a_mptf.conllu,h-,intransitive,Pres,3
PVr-K7a_mptf.conllu,būdan,transitive,Pres,3
Col-J2_mptf.conllu,h-,intransitive,Pres,1
ZPJ̌-TD2_mptf.conllu,ēstādan,transitive,Pres,38
ZPJ̌-TD2_mptf.conllu,ēstādan,intransitive,Pres,2
ZPJ̌-TD2_mptf.conllu,h-,transitive,Pres,8
ZPJ̌-TD2_mptf.conllu,h-,intransitive,Pres,1
ZPJ̌-TD2_mptf.conllu,būdan,transitive,Pres,10
ZPJ̌-TD2_mptf.conllu,būdan,intransitive,Past,1
ŠnŠ-K20_mptf.conllu,ēstādan,transitive,Pres,52
ŠnŠ-K20_mptf.conllu,h-,transitive,Pres,4
ŠnŠ-K20_mptf.conllu,būdan,transitive,Pres,7
RThQA-TD2_mptf.conllu,ēstādan,transitive,Pres,13
RThQA-TD2_mptf.conllu,ēstādan,intransitive,Pres,5
RThQA-TD2_mptf.conllu,būdan,transitive,Pres,4
WZ_TD4a.conllu,ēstādan,transitive,Pres,6
WZ_TD4a.conllu,ēstādan,transitive,Past,2
WZ_TD4a.conllu,ēstādan,intransitive,Pres,1
WZ_TD4a.conllu,ēstādan,intransitive,Past,2
WZ_TD4a.conllu,h-,transitive,Pres,12
WZ_TD4a.conllu,h-,transitive,Past,2
WZ_TD4a.conllu,h-,intransitive,Pres,53
WZ_TD4a.conllu,h-,intransitive,Past,1
WZ_TD4a.conllu,būdan,transitive,Past,4
WZ_TD4a.conllu,būdan,intransitive,Past,5
N-HJ_mptf.conllu,ēstādan,transitive,Pres,47
N-HJ_mptf.conllu,h-,transitive,Pres,5
N-HJ_mptf.conllu,būdan,transitive,Pres,4
RĀF-TD2_mptf.conllu,ēstādan,transitive,Pres,49
RĀF-TD2_mptf.conllu,ēstādan,transitive,Past,3
RĀF-TD2_mptf.conllu,ēstādan,transitive,Unknown,1
RĀF-TD2_mptf.conllu,ēstādan,intransitive,Pres,13
RĀF-TD2_mptf.conllu,h-,transitive,Pres,20
RĀF-TD2_mptf.conllu,būdan,transitive,Pres,5
RĀF-TD2_mptf.conllu,būdan,transitive,Past,1
RĀF-TD2_mptf.conllu,būdan,intransitive,Pres,8
