File,TokenLemma,HeadLemma,TopHeadLemma,TopHeadDeprel
DD-K35_mptf.conllu,guftan,dādan,pursīdan,root
Dk5-B_mptf.conllu,padīriftan,wizīdan,dēn,obl
Dk5-B_mptf.conllu,gumēxtan,gumēxtan,nigerīhistan,advcl
GBd-TD1_mptf.conllu,paywastan,paywastan,čim,obl
GBd-TD1_mptf.conllu,paywastan,paywastan,čim,obl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,madan1,advcl
GBd-TD1_mptf.conllu,madan1,madan1,bastan,root
GBd-TD1_mptf.conllu,madan1,madan1,bastan,root
GBd-TD1_mptf.conllu,madan1,madan1,bastan,root
GBd-TD1_mptf.conllu,madan1,madan1,bastan,root
GBd-TD1_mptf.conllu,madan1,madan1,bastan,root
GBd-TD1_mptf.conllu,bastan,bastan,dādan,xcomp
GBd-TD1_mptf.conllu,bastan,bastan,dādan,xcomp
GBd-TD1_mptf.conllu,handāxtan,dānistan,guftan,root
GBd-TD1_mptf.conllu,madan1,madan1,āb,nsubj
MYF-K20_mptf.conllu,xwārīdan,kirdan,mardōm,root
MYF-K20_mptf.conllu,dādan,yaštan,mardōm,root
MYF-K20_mptf.conllu,kirdan,yaštan,mardōm,root
NM-K35_mptf.conllu,burzīdan,stūdan,būdan,root
NM-K35_mptf.conllu,gumārdan,passandīdan,yōǰdāsrgar,obj
NM-TD4a_mptf.conllu,gumārdan,passandīdan,yōǰdāsrgar,obj
PY-Pt4_mptf.conllu,tāšīdan,brēhēnīdan,garzīdan,root
WZ_K35.conllu,baxtan,xwāstan,paydāg,root
ZWY-K20_mptf.conllu,srūdan,kirdan,ōwōn,root
ZWY-K43a_mptf.conllu,srūdan,kirdan,ōwōn,root
