File,Transitivity,Count,Ratio
AOD-K20_mptf.conllu,transitive,13,0.7222222222222222
AOD-K20_mptf.conllu,intransitive,5,0.2777777777777778
Col-J2_mptf.conllu,transitive,2,1.0
Col-K20-1_mptf.conllu,intransitive,1,1.0
Col-K43a-2_mptf.conllu,intransitive,2,0.6666666666666666
Col-K43a-2_mptf.conllu,transitive,1,0.3333333333333333
Col-K7b-1_mptf.conllu,intransitive,1,0.5
Col-K7b-1_mptf.conllu,transitive,1,0.5
Col-K7b-2_mptf.conllu,intransitive,1,1.0
Col-TD1-1_mptf.conllu,transitive,6,1.0
Col-TD2-1_mptf.conllu,intransitive,1,1.0
Col-TD2-2_mptf.conllu,transitive,2,1.0
DD-K35_mptf.conllu,intransitive,85,0.25757575757575757
DD-K35_mptf.conllu,transitive,245,0.7424242424242424
DD-TD4a_mptf.conllu,intransitive,81,0.25471698113207547
DD-TD4a_mptf.conllu,transitive,237,0.7452830188679245
DMX-K43a_mptf.conllu,intransitive,37,0.1510204081632653
DMX-K43a_mptf.conllu,transitive,208,0.8489795918367347
DMX-L19_mptf.conllu,transitive,58,0.90625
DMX-L19_mptf.conllu,intransitive,6,0.09375
Dk3-B_mptf.conllu,transitive,764,0.8059071729957806
Dk3-B_mptf.conllu,intransitive,184,0.1940928270042194
Dk4-B_mptf.conllu,intransitive,18,0.14285714285714285
Dk4-B_mptf.conllu,transitive,108,0.8571428571428571
Dk5-B_mptf.conllu,transitive,55,0.5339805825242718
Dk5-B_mptf.conllu,intransitive,48,0.46601941747572817
Dk6-B_mptf.conllu,transitive,661,0.8685939553219448
Dk6-B_mptf.conllu,intransitive,100,0.1314060446780552
Dk7-B_mptf.conllu,intransitive,255,0.35664335664335667
Dk7-B_mptf.conllu,transitive,460,0.6433566433566433
Dk9-B_mptf.conllu,transitive,641,0.8817056396148556
Dk9-B_mptf.conllu,intransitive,86,0.11829436038514443
GA-K20_mptf.conllu,intransitive,10,0.17543859649122806
GA-K20_mptf.conllu,transitive,47,0.8245614035087719
GBd-DH_mptf.conllu,transitive,677,0.6617790811339198
GBd-DH_mptf.conllu,intransitive,346,0.33822091886608013
GBd-TD1_mptf.conllu,transitive,779,0.6669520547945206
GBd-TD1_mptf.conllu,intransitive,389,0.3330479452054795
GBd-TD2_mptf.conllu,transitive,754,0.66431718061674
GBd-TD2_mptf.conllu,intransitive,381,0.3356828193832599
H-HJ_mptf.conllu,transitive,69,0.8117647058823529
H-HJ_mptf.conllu,intransitive,16,0.18823529411764706
MHD-MHDC_mptf.conllu,transitive,1347,0.8371659415786202
MHD-MHDC_mptf.conllu,intransitive,262,0.16283405842137974
MYF-K20_mptf.conllu,intransitive,23,0.1619718309859155
MYF-K20_mptf.conllu,transitive,119,0.8380281690140845
N-HJ_mptf.conllu,transitive,347,0.8631840796019901
N-HJ_mptf.conllu,intransitive,55,0.13681592039800994
NM-K35_mptf.conllu,transitive,363,0.825
NM-K35_mptf.conllu,intransitive,77,0.175
NM-TD4a_mptf.conllu,transitive,355,0.8255813953488372
NM-TD4a_mptf.conllu,intransitive,75,0.1744186046511628
P-TD2_mptf.conllu,intransitive,18,0.23076923076923078
P-TD2_mptf.conllu,transitive,60,0.7692307692307693
PVr-K7a_mptf.conllu,transitive,24,1.0
PY-Pt4_mptf.conllu,transitive,328,0.7420814479638009
PY-Pt4_mptf.conllu,intransitive,114,0.2579185520361991
PYextr-K7a_mptf.conllu,transitive,2,1.0
RThQA-TD2_mptf.conllu,transitive,16,0.5925925925925926
RThQA-TD2_mptf.conllu,intransitive,11,0.4074074074074074
RĀF-TD2_mptf.conllu,transitive,120,0.6818181818181818
RĀF-TD2_mptf.conllu,intransitive,56,0.3181818181818182
WZ_K35.conllu,intransitive,220,0.40441176470588236
WZ_K35.conllu,transitive,324,0.5955882352941176
WZ_TD4a.conllu,intransitive,260,0.39755351681957185
WZ_TD4a.conllu,transitive,394,0.6024464831804281
ZPJ̌-TD2_mptf.conllu,transitive,453,0.8089285714285714
ZPJ̌-TD2_mptf.conllu,intransitive,107,0.19107142857142856
ZWY-K20_mptf.conllu,transitive,87,0.7699115044247787
ZWY-K20_mptf.conllu,intransitive,26,0.23008849557522124
ZWY-K43a_mptf.conllu,transitive,84,0.7777777777777778
ZWY-K43a_mptf.conllu,intransitive,24,0.2222222222222222
ŠnŠ-K20_mptf.conllu,transitive,227,0.7909407665505227
ŠnŠ-K20_mptf.conllu,intransitive,60,0.20905923344947736
